Date,HomeTeam,AwayTeam,GoalDiff,AHh,PCAHH,Residual,Adjustment,Handicap_Pred
2024-08-16,Man United,Fulham,1,-1.0,1.83,2.0,0.2827207417982893,-0.7172792582017107
2024-08-17,Ipswich,Liverpool,-2,1.5,2.04,-3.5,0.4814408601364786,1.9814408601364786
2024-08-17,Arsenal,Wolves,2,-2.0,2.0,4.0,0.44358940902444255,-1.5564105909755575
2024-08-17,Everton,Brighton,-3,0.0,1.86,-3.0,0.31110933013231645,0.31110933013231645
2024-08-17,Newcastle,Southampton,1,-1.5,1.88,2.5,0.33003505568833424,-1.1699649443116658
2024-08-17,Nott'm Forest,Bournemouth,0,0.0,1.94,0.0,0.3868122323563885,0.3868122323563885
2024-08-17,West Ham,Aston Villa,-1,-0.25,1.85,-0.75,0.30164646735430733,0.051646467354307335
2024-08-18,Brentford,Crystal Palace,1,-0.25,2.06,1.25,0.5003665856924966,0.2503665856924966
2024-08-18,Chelsea,Man City,-2,0.5,1.96,-2.5,0.4057379579124065,0.9057379579124065
2024-08-19,Leicester,Tottenham,0,1.0,2.02,-1.0,0.46251513458046056,1.4625151345804606
2024-08-24,Brighton,Man United,1,0.0,2.12,1.0,0.5571437623605506,0.5571437623605506
2024-08-24,Crystal Palace,West Ham,-2,-0.25,1.98,-1.75,0.42466368346842454,0.17466368346842454
2024-08-24,Fulham,Leicester,1,-0.75,1.88,1.75,0.33003505568833424,-0.41996494431166576
2024-08-24,Man City,Ipswich,3,-2.75,1.82,5.75,0.2732578790202804,-2.4767421209797194
2024-08-24,Southampton,Nott'm Forest,-1,0.0,2.03,-1.0,0.47197799735846946,0.47197799735846946
2024-08-24,Tottenham,Everton,4,-1.25,2.01,5.25,0.45305227180245145,-0.7969477281975486
2024-08-24,Aston Villa,Arsenal,-2,0.75,1.98,-2.75,0.42466368346842454,1.1746636834684245
2024-08-25,Bournemouth,Newcastle,0,0.25,1.94,-0.25,0.3868122323563885,0.6368122323563885
2024-08-25,Wolves,Chelsea,-4,0.75,1.99,-4.75,0.43412654624643343,1.1841265462464334
2024-08-25,Liverpool,Brentford,2,-1.75,2.07,3.75,0.5098294484705055,-1.2401705515294945
2024-08-31,Arsenal,Brighton,0,-1.5,2.09,1.5,0.5287551740265235,-0.9712448259734765
2024-08-31,Brentford,Southampton,2,-0.75,2.09,2.75,0.5287551740265235,-0.2212448259734765
2024-08-31,Everton,Bournemouth,-1,0.0,1.87,-1.0,0.32057219291032535,0.32057219291032535
2024-08-31,Ipswich,Fulham,0,0.25,1.83,-0.25,0.2827207417982893,0.5327207417982893
2024-08-31,Leicester,Aston Villa,-1,0.75,2.0,-1.75,0.44358940902444255,1.1935894090244425
2024-08-31,Nott'm Forest,Wolves,0,-0.5,2.01,0.5,0.45305227180245145,-0.046947728197548555
